id,name,position,team,dv,fp
1,Nikola Jokić,C,DEN,25.13,859.25
2,Luka Dončić,G,DAL,22.03,1474.25
3,Joel Embiid,C,PHI,21.38,404.5
4,Jayson Tatum,F,BOS,21.22,1035.75
5,Giannis Antetokounmpo,F,MIL,21.05,0
6,Shai Gilgeous-Alexander,G,OKC,18.27,594.5
7,Jaylen Brown,F,BOS,17.36,803.75
8,Kristaps Porziņģis,C,BOS,16.8,182.75
9,Jamal Murray,G,DEN,16.48,480
10,Derrick White,G,BOS,15.31,686.25
11,Damian Lillard,G,MIL,15.26,189.75
12,Kyrie Irving,G,DAL,15.01,886.25
13,Kawhi Leonard,F,LAC,14.94,66
14,Tyrese Maxey,G,PHI,14.9,313.75
15,Anthony Davis,C,LAL,14.9,304.5
16,Kevin Durant,F,PHO,14.9,182
17,Devin Booker,G,PHO,14.8,192.75
18,James Harden,G,LAC,14.64,284.25
19,LeBron James,F,LAL,14.37,310.5
20,Anthony Edwards,G,MIN,14.08,866.5
21,Jrue Holiday,G,BOS,13.97,658
22,Paul George,F,LAC,13.55,249.25
23,Jalen Brunson,G,NYK,12.75,690.25
24,Aaron Gordon,F,DEN,12.7,443.25
25,Karl-Anthony Towns,F,MIN,12.4,616.5
27,Rudy Gobert,C,MIN,12.39,500.75
26,Chet Holmgren,C,OKC,12.39,369
28,Michael Porter Jr.,F,DEN,12.08,370.5
29,Jalen Williams,F,OKC,11.94,440.5
30,Jusuf Nurkić,C,PHO,11.7,130.75
31,Donovan Mitchell,G,CLE,11.69,493
32,Tobias Harris,F,PHI,11.54,139.25
33,Khris Middleton,F,MIL,11.25,283.25
34,Bradley Beal,G,PHO,11.16,123.75
35,Al Horford,C,BOS,11.09,516.75
36,Josh Giddey,G,OKC,10.51,187.5
37,Bam Adebayo,C,MIA,10.46,217.25
38,Ivica Zubac,C,LAC,10.15,206.5
39,Russell Westbrook,G,LAC,9.96,115.75
40,Brook Lopez,C,MIL,9.88,181.5
41,D'Angelo Russell,G,LAL,9.77,141
42,Daniel Gafford,C,DAL,9.75,491.5
43,Jimmy Butler,F,MIA,9.72,0
44,Bobby Portis,F,MIL,9.69,211
45,Kelly Oubre Jr.,F,PHI,9.52,180
46,Payton Pritchard,G,BOS,9.4,260.25
47,Jarrett Allen,C,CLE,9.38,176.75
48,Evan Mobley,F,CLE,9.23,485.75
49,Mike Conley,G,MIN,9.16,484
50,P.J. Washington,F,DAL,9.07,620.25
51,Austin Reaves,G,LAL,9.03,172.75
52,Zion Williamson,F,NOP,8.93,0
53,De'Anthony Melton,G,PHI,8.76,3.25
54,Kentavious Caldwell-Pope,G,DEN,8.74,263.75
55,Tyler Herro,G,MIA,8.72,159.5
56,Tyrese Haliburton,G,IND,8.71,705.25
58,Darius Garland,G,CLE,8.53,410.75
59,Grayson Allen,G,PHO,8.47,23.5
61,Dereck Lively II,C,DAL,8.33,509
62,Brandon Ingram,F,NOP,8.32,126
63,Reggie Jackson,G,DEN,8.26,90.25
64,Josh Hart,F,NYK,8.22,560
65,Naz Reid,C,MIN,8.1,334.25
146,Buddy Hield,G,PHI,8.06,34.75
66,Isaiah Hartenstein,C,NYK,7.98,386.5
67,Terry Rozier,G,MIA,7.88,0
68,Donte DiVincenzo,G,NYK,7.83,440.5
69,OG Anunoby,F,NYK,7.76,268.5
70,Caris LeVert,G,CLE,7.66,250
71,CJ McCollum,G,NOP,7.65,154.25
72,Kyle Lowry,G,PHI,7.57,145.25
73,Tim Hardaway Jr.,F,DAL,7.5,119.75
75,Sam Hauser,F,BOS,7.44,201.25
77,Paul Reed,C,PHI,7.39,46.5
78,Luke Kornet,C,BOS,7.25,126.25
79,Paolo Banchero,F,ORL,7.23,345
80,Royce O'Neale,F,PHO,7.19,56.25
81,Pascal Siakam,F,IND,7.17,723
82,Luguentz Dort,F,OKC,7.17,252.5
83,Norman Powell,G,LAC,7.11,109.25
84,Neemias Queta,C,BOS,6.97,10.75
85,Kyle Anderson,F,MIN,6.95,236.5
86,Malik Beasley,G,MIL,6.92,90.75
88,Max Strus,F,CLE,6.8,287.5
87,Christian Braun,G,DEN,6.8,141.5
89,Mitchell Robinson,C,NYK,6.68,119.75
91,Peyton Watson,F,DEN,6.52,59.25
93,Jaden McDaniels,F,MIN,6.35,399.75
94,Rui Hachimura,F,LAL,6.34,72.75
95,Precious Achiuwa,F,NYK,6.31,155.5
96,Patrick Beverley,G,MIL,6.3,167
98,Josh Green,G,DAL,6.24,290.5
97,Eric Gordon,G,PHO,6.24,69.25
